window_index,mse
0,0.140692
1,0.139573
2,0.139095
3,0.141456
4,0.138711
5,0.137381
6,0.136548
7,0.134094
8,0.129794
9,0.125898
10,0.124473
11,0.123995
12,0.123298
13,0.123248
14,0.120510
15,0.118978
16,0.118526
17,0.126858
18,0.126214
19,0.127109
20,0.128206
21,0.127679
22,0.128118
23,0.125839
24,0.124353
25,0.121345
26,0.121096
27,0.115948
28,0.118108
29,0.119492
30,0.126466
31,0.126989
32,0.132501
33,0.136020
34,0.140421
35,0.135210
36,0.137206
37,0.137974
38,0.136921
39,0.138188
40,0.135550
41,0.125546
42,0.132574
43,0.131238
44,0.135092
45,0.138413
46,0.133137
47,0.136593
48,0.136122
49,0.138805
50,0.139038
51,0.138320
52,0.135930
53,0.137796
54,0.132064
55,0.138931
56,0.136642
57,0.133034
58,0.130883
59,0.133012
60,0.134372
61,0.130596
62,0.133370
63,0.132934
64,0.139535
65,0.142617
66,0.139276
67,0.138698
68,0.135374
69,0.136302
70,0.143503
71,0.142095
72,0.145231
73,0.147689
74,0.147866
75,0.149584
76,0.151732
77,0.152588
78,0.154701
79,0.148830
80,0.147968
81,0.148534
82,0.150182
83,0.152372
84,0.151183
85,0.155258
86,0.155975
87,0.158732
88,0.160376
89,0.164161
90,0.165771
91,0.168883
92,0.170743
93,0.169163
94,0.166855
95,0.173567
96,0.169644
97,0.163735
98,0.164311
99,0.164808
100,0.165070
101,0.164722
102,0.162091
103,0.165528
104,0.167298
105,0.166801
106,0.163335
107,0.163449
108,0.162709
109,0.160019
110,0.162786
111,0.161201
112,0.156631
113,0.156804
114,0.154092
115,0.155075
116,0.152907
117,0.153800
118,0.150636
119,0.146081
120,0.148051
121,0.149663
122,0.152236
123,0.153510
124,0.157092
125,0.155431
126,0.156279
127,0.155310
128,0.155858
129,0.159605
130,0.162125
131,0.160887
132,0.161250
133,0.163040
134,0.161100
135,0.159145
136,0.160381
137,0.155831
138,0.154514
139,0.156441
140,0.155519
141,0.154787
142,0.153775
143,0.157154
144,0.155679
145,0.158180
146,0.157583
147,0.154442
148,0.148399
149,0.147281
150,0.145577
151,0.144042
152,0.143982
153,0.141763
154,0.142299
155,0.141318
156,0.139683
157,0.139037
158,0.139010
159,0.139701
160,0.136817
161,0.142218
162,0.144880
163,0.139104
164,0.140235
165,0.142167
166,0.143182
167,0.136831
168,0.137200
169,0.137223
170,0.132827
171,0.131299
172,0.129987
173,0.130113
174,0.129397
175,0.126854
176,0.123733
177,0.123038
178,0.123548
179,0.123476
180,0.122529
181,0.124759
182,0.124271
183,0.126134
184,0.125744
185,0.120739
186,0.119387
187,0.117751
188,0.115874
189,0.111135
190,0.109683
191,0.109547
192,0.108210
193,0.106544
194,0.112433
195,0.115429
196,0.120107
197,0.122133
198,0.123234
199,0.125520
200,0.127100
201,0.127734
202,0.129140
203,0.130592
204,0.133155
205,0.129071
206,0.127929
207,0.128697
208,0.128121
209,0.128529
210,0.129181
211,0.133276
212,0.134067
213,0.136157
214,0.135740
215,0.136690
216,0.136664
217,0.135673
218,0.131247
219,0.128732
220,0.125705
221,0.123946
222,0.124476
223,0.125922
224,0.126660
225,0.132476
226,0.133305
227,0.136511
228,0.138025
229,0.143575
230,0.142520
231,0.144735
232,0.146083
233,0.144999
234,0.142604
235,0.138572
236,0.137007
237,0.135559
238,0.141339
239,0.141910
240,0.142966
241,0.143856
242,0.148658
243,0.148468
244,0.151579
245,0.153875
246,0.156786
247,0.156578
248,0.160244
249,0.159305
250,0.159831
251,0.159381
252,0.157077
253,0.152279
254,0.151831
255,0.147550
256,0.153770
257,0.154497
258,0.163075
259,0.168878
260,0.172336
261,0.172766
262,0.171836
263,0.178912
264,0.184306
265,0.188258
266,0.186934
267,0.189138
268,0.194939
269,0.198347
270,0.199288
271,0.201204
272,0.198689
273,0.200949
274,0.198935
275,0.200748
276,0.203952
277,0.205960
278,0.212444
279,0.210086
280,0.208212
281,0.215188
282,0.209476
283,0.208565
284,0.207495
285,0.219081
286,0.223958
287,0.217200
288,0.208788
289,0.209897
290,0.213602
291,0.219302
292,0.214375
293,0.214065
294,0.217506
295,0.214996
296,0.217388
297,0.215866
298,0.219179
299,0.218904
300,0.218878
301,0.222125
302,0.219708
303,0.225007
304,0.225358
305,0.222673
306,0.226544
307,0.228530
308,0.232821
309,0.224667
310,0.222189
311,0.223940
312,0.231626
313,0.229714
314,0.230053
315,0.228838
316,0.231517
317,0.232592
318,0.230459
319,0.236075
320,0.234236
321,0.231857
322,0.223709
323,0.225658
324,0.222911
325,0.217838
326,0.218192
327,0.222171
328,0.219841
329,0.217119
330,0.212982
331,0.209566
332,0.207138
333,0.203972
334,0.197665
335,0.194369
336,0.188056
337,0.184719
338,0.180090
339,0.173616
340,0.166175
341,0.160445
342,0.158105
343,0.154446
344,0.149873
345,0.144315
346,0.148319
347,0.144052
348,0.146662
349,0.150941
350,0.147763
351,0.141436
352,0.142458
353,0.144337
354,0.144908
355,0.148031
356,0.147717
357,0.150402
358,0.152623
359,0.155623
360,0.155213
361,0.153039
362,0.149463
363,0.149457
364,0.151459
365,0.152039
366,0.149660
367,0.147523
368,0.147285
369,0.146486
370,0.142763
371,0.139591
372,0.140226
373,0.134966
374,0.136335
375,0.137400
376,0.136998
377,0.133197
378,0.129082
379,0.122846
380,0.118045
381,0.112646
382,0.109677
383,0.105752
384,0.103750
385,0.102175
386,0.101837
387,0.102726
388,0.103185
389,0.102195
390,0.105914
391,0.104960
392,0.105456
393,0.107422
394,0.112281
395,0.111068
396,0.103807
397,0.103359
398,0.104534
399,0.102268
400,0.098939
401,0.100309
402,0.104528
403,0.105332
404,0.106409
405,0.108581
406,0.108603
407,0.108472
408,0.109122
409,0.112249
410,0.111655
411,0.110044
412,0.110742
413,0.109855
414,0.105712
415,0.104088
416,0.106800
417,0.112828
418,0.111610
419,0.111922
420,0.116518
421,0.119730
422,0.117859
423,0.116392
424,0.113559
425,0.110913
426,0.108423
427,0.106319
428,0.104987
429,0.106555
430,0.108481
431,0.107010
432,0.109134
433,0.105266
434,0.106366
435,0.105810
436,0.103667
437,0.105444
438,0.104910
439,0.108370
440,0.107530
441,0.105741
442,0.101223
443,0.103020
444,0.098817
445,0.096698
446,0.097247
447,0.098852
448,0.099639
449,0.099195
450,0.097839
451,0.098674
452,0.102130
453,0.101497
454,0.099972
455,0.100506
456,0.099796
457,0.102493
458,0.103794
459,0.106463
460,0.104945
461,0.105773
462,0.106323
463,0.104289
464,0.103245
465,0.097069
466,0.098493
467,0.097347
468,0.097988
469,0.095595
470,0.097633
471,0.100266
472,0.101477
473,0.104765
474,0.108816
475,0.107820
